O_per,NF_per,NM_per,valency_NF,valency_NM,automic_mass,automic_vol,A_number,automic_radius,vdwall_radius,covalent_radius,element_dipole_polarizability,others,pH,Temp (Celsius),f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,rate (gm/m2/day)
0.649310005,0.158509963,0.192180032,159.549691,96.7203074,6306.72637,2587.835948,3138.328163,558.6886017,487.0807116,261.5185105,11488.67278,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.327589272
0.652920165,0.192439591,0.154640244,199.9995329,80.35762392,6258.631217,2531.604072,3116.068472,561.5170212,491.8118013,258.3300916,10360.19666,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.113321622
0.728455274,0.181230014,0.090314712,199.4616915,49.70017062,6967.59117,2804.380135,3455.989666,646.3857175,559.8283129,290.3281319,9841.0636,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.025964483
0.708235836,0.228459087,0.063305077,257.8290191,35.7216823,6677.215928,2638.374826,3317.916399,623.9786212,545.4162007,275.7581218,8379.358604,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.018830317
0.682563644,0.292586672,0.024849685,342.5907344,14.54829032,6275.572896,2404.997543,3127.015134,593.8413609,526.4132006,255.5036291,6241.539072,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.011866011
0.666666667,0.333333333,0,400,0,6008.3,2248.759,3000,574,514,242,4790,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.008590119
0.649310005,0.158509963,0.192180032,159.549691,96.7203074,6306.72637,2587.835948,3138.328163,558.6886017,487.0807116,261.5185105,11488.67278,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.156757533
0.652920165,0.192439591,0.154640244,199.9995329,80.35762392,6258.631217,2531.604072,3116.068472,561.5170212,491.8118013,258.3300916,10360.19666,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.062363291
0.728455274,0.181230014,0.090314712,199.4616915,49.70017062,6967.59117,2804.380135,3455.989666,646.3857175,559.8283129,290.3281319,9841.0636,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.00987621
0.708235836,0.228459087,0.063305077,257.8290191,35.7216823,6677.215928,2638.374826,3317.916399,623.9786212,545.4162007,275.7581218,8379.358604,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.015287499
0.682563644,0.292586672,0.024849685,342.5907344,14.54829032,6275.572896,2404.997543,3127.015134,593.8413609,526.4132006,255.5036291,6241.539072,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.009221031
0.666666667,0.333333333,0,400,0,6008.3,2248.759,3000,574,514,242,4790,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.00334869
0.649310005,0.158509963,0.192180032,159.549691,96.7203074,6306.72637,2587.835948,3138.328163,558.6886017,487.0807116,261.5185105,11488.67278,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.179810112
0.652920165,0.192439591,0.154640244,199.9995329,80.35762392,6258.631217,2531.604072,3116.068472,561.5170212,491.8118013,258.3300916,10360.19666,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.062363291
0.728455274,0.181230014,0.090314712,199.4616915,49.70017062,6967.59117,2804.380135,3455.989666,646.3857175,559.8283129,290.3281319,9841.0636,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.008590119
0.708235836,0.228459087,0.063305077,257.8290191,35.7216823,6677.215928,2638.374826,3317.916399,623.9786212,545.4162007,275.7581218,8379.358604,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.011356428
0.682563644,0.292586672,0.024849685,342.5907344,14.54829032,6275.572896,2404.997543,3127.015134,593.8413609,526.4132006,255.5036291,6241.539072,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.004610516
0.666666667,0.333333333,0,400,0,6008.3,2248.759,3000,574,514,242,4790,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.002062599
0.649310005,0.158509963,0.192180032,159.549691,96.7203074,6306.72637,2587.835948,3138.328163,558.6886017,487.0807116,261.5185105,11488.67278,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.130307733
0.652920165,0.192439591,0.154640244,199.9995329,80.35762392,6258.631217,2531.604072,3116.068472,561.5170212,491.8118013,258.3300916,10360.19666,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.054112895
0.728455274,0.181230014,0.090314712,199.4616915,49.70017062,6967.59117,2804.380135,3455.989666,646.3857175,559.8283129,290.3281319,9841.0636,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.00987621
0.708235836,0.228459087,0.063305077,257.8290191,35.7216823,6677.215928,2638.374826,3317.916399,623.9786212,545.4162007,275.7581218,8379.358604,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.007328293
0.682563644,0.292586672,0.024849685,342.5907344,14.54829032,6275.572896,2404.997543,3127.015134,593.8413609,526.4132006,255.5036291,6241.539072,0,13,20,10.116534,10.644718,7.435634,6.6518764,4.021986,18.769032,9.22236,7.084237,-1.2334231,2.6529207,0.002213048
